account,date,daily_pnl,num_trades,avg_trade_size_usd,avg_trade_size_tokens,avg_fee,win_rate,long_ratio,timestamp,value,sentiment,activity_segment,pnl_std,consistency_segment
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-01,0.0,2,23066.935,0.5,11.072125999999999,0.0,0.0,1730439000,75,Extreme Greed,Infrequent,67.88499177537582,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-01-12,0.0,1,199.81,459.0,0.069934,0.0,0.0,1705037400,71,Greed,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-03-12,0.0,1,209.94,500.0,0.073479,0.0,0.0,1710221400,81,Extreme Greed,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-05-12,0.0,6,10238.081666666667,67.04565666666666,19.757147359999998,0.0,0.0,1715491800,56,Greed,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-06-12,0.0,20,1657.5529999999999,579.7515275,8.60627,0.0,0.0,1718170200,72,Greed,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-09-12,483.662076,8,603.1,1507.75,0.48248,1.0,0.0,1726119000,31,Fear,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-12,0.0,3,22522.036666666667,52.30877,22.963763999999998,0.0,0.0,1728711000,49,Neutral,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-11-12,3721.345649,4,40012.55,0.3982775,56.017569,1.0,0.0,1731389400,80,Extreme Greed,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-11,0.0,2,5195.3,1.5498,3.6367089999999997,0.0,0.0,1733895000,74,Greed,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-01-01,-9655.676981,12,15270.597499999998,654.9641666666666,9.853497840000001,0.4166666666666667,0.0,1735709400,66,Greed,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-01,0.0,1,6217.48,266.73,0.02667297,0.0,0.0,1740807000,20,Extreme Fear,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-04,0.0,142,4742.898943661972,2.6800584507042253,67.34912,0.0,0.0,1741066200,15,Extreme Fear,Frequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-04-03,863.956464,63,3213.5458730158734,197.16993492063494,18.52469533,0.47619047619047616,0.0,1743658200,25,Fear,Infrequent,2981.834590556333,Consistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-04-04,266.39774,34,19800.740588235294,11.193182352941179,67.322498,1.0,0.0,1743744600,28,Fear,Infrequent,2981.834590556333,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-02-12,0.0,1,46692.72,5836.59,0.583659,0.0,0.0,1707715800,70,Greed,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-03-10,100.375782,5,2585.338,755.2,4.5243400000000005,0.6,0.0,1710048600,79,Extreme Greed,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-03-11,0.0,2,9530.66,64707.5,1.90613,0.0,0.0,1710135000,82,Extreme Greed,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-04-11,540.05911,10,1960.1330000000003,12941.5,6.860463,1.0,0.0,1712813400,76,Extreme Greed,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-07-11,503.46257599999996,16,1929.28125,5074.0,3.086842,0.6875,0.0,1720675800,29,Fear,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-11,0.0,1,9836.88,4631.3,0.983688,0.0,0.0,1728624600,32,Fear,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-11-11,393.07947,4,2557.49,1157.8249999999998,3.580485,1.0,0.0,1731303000,76,Extreme Greed,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-12-11,0.0,4,1319.1399999999999,421.45000000000005,0.527654,0.0,0.0,1733895000,74,Greed,Infrequent,236.44439291428097,Consistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-04-04,0.0,1,63727.4,0.7678,7.678e-05,0.0,0.0,1743744600,28,Fear,Infrequent,236.44439291428097,Consistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-06-12,0.0,45,10673.925777777777,274.24444444444447,76.264613,0.0,0.0,1718170200,72,Greed,Infrequent,1246.2474175700427,Consistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-12-12,1762.46,10,6750.81,29.0,17.102716,1.0,0.0,1733981400,83,Extreme Greed,Infrequent,1246.2474175700427,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-05-10,0.0,1,0.61,2269.151296,0.0,0.0,0.0,1715319000,66,Greed,Infrequent,0.0,Consistent
